title,cwe,description,cvss,cvss_v4,finding,stream,kind,where,snippet,method
011. Use of software with known vulnerabilities,CWE-1333,"Use of nth-check at version 1.0.2 with ['CVE-2021-3803', 'GHSA-rp65-9cf3-cjxr'] in MyApp/package-lock.json",CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H/E:U/RL:O/RC:C,CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:N/VC:N/VI:N/VA:H/SC:N/SI:N/SA:N/E:U,https://help.fluidattacks.com/portal/en/kb/articles/criteria-vulnerabilities-011,skims,SCA,18010,"
  16477 |     },
> 16478 |     ""node_modules/resolve-url-loader/node_modules/postcss"": {
  16479 |       ""version"": ""7.0.39"",
  16480 |       ""resolved"": ""https://registry.npmjs.org/postcss/-/postcss-7.0.39.tgz"",
  16481 |       ""integrity"": ""sha512-yioayjNbHn6z1/Bywyb2Y4s3yvDAeXGOyxqD+LnVOinq6Mdmd++SW2wUNVzavyyHxd6+DxzWGIuosg6P1Rj8uA=="",
  16482 |       ""dependencies"": {
  16483 |         ""picocolors"": ""^0.2.1"",
  16484 |         ""source-map"": ""^0.6.1""
  16485 |       },
  16486 |       ""engines"": {
  16487 |         ""node"": "">=6.0.0""
  16488 |       },
        ^ Col 0
",npm.npm_package_lock_json
011. Use of software with known vulnerabilities,CWE-184 + CWE-693,Use of http-proxy at version 1.11.1 with ['GHSA-6x33-pw7p-hmpq'] in MyApp/package-lock.json,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H/E:U/RL:O/RC:C,CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:N/VC:N/VI:N/VA:H/SC:N/SI:N/SA:N/E:U,https://help.fluidattacks.com/portal/en/kb/articles/criteria-vulnerabilities-011,skims,SCA,10927,"
  10917 |       },
  10918 |       ""engines"": {
  10919 |         ""node"": "">= 0.8""
  10920 |       }
  10921 |     },
  10922 |     ""node_modules/http-parser-js"": {
  10923 |       ""version"": ""0.5.9"",
  10924 |       ""resolved"": ""https://registry.npmjs.org/http-parser-js/-/http-parser-js-0.5.9.tgz"",
  10925 |       ""integrity"": ""sha512-n1XsPy3rXVxlqxVioEWdC+0+M+SQw0DpJynwtOPo1X+ZlvdzTLtDBIJJlDQTnwZIFJrZSzSGmIOUdP8tu+SgLw==""
  10926 |     },
> 10927 |     ""node_modules/http-proxy"": {
  10928 |       ""version"": ""1.11.1"",
  10929 |       ""resolved"": ""https://registry.npmjs.org/http-proxy/-/http-proxy-1.11.1.tgz"",
  10930 |       ""integrity"": ""sha512-qz7jZarkVG3G6GMq+4VRJPSN4NkIjL4VMTNhKGd8jc25BumeJjWWvnY3A7OkCGa8W1TTxbaK3dcE0ijFalITVA=="",
  10931 |       ""dependencies"": {
  10932 |         ""eventemitter3"": ""1.x.x"",
  10933 |         ""requires-port"": ""0.x.x""
  10934 |       },
  10935 |       ""engines"": {
  10936 |         ""node"": "">=0.10.0""
  10937 |       }
        ^ Col 0
",npm.npm_package_lock_json
011. Use of software with known vulnerabilities,CWE-330,"Use of undici at version 5.28.4 with ['CVE-2025-22150', 'GHSA-c76h-2ccp-4975'] in MyApp/package-lock.json",CVSS:3.1/AV:N/AC:H/PR:N/UI:R/S:U/C:H/I:H/A:N/E:U/RL:O/RC:C,CVSS:4.0/AV:N/AC:H/AT:N/PR:N/UI:A/VC:H/VI:H/VA:N/SC:N/SI:N/SA:N/E:U,https://help.fluidattacks.com/portal/en/kb/articles/criteria-vulnerabilities-011,skims,SCA,18676,"
  18666 |       },
  18667 |       ""funding"": {
  18668 |         ""url"": ""https://github.com/sponsors/ljharb""
  18669 |       }
  18670 |     },
  18671 |     ""node_modules/underscore"": {
  18672 |       ""version"": ""1.12.1"",
  18673 |       ""resolved"": ""https://registry.npmjs.org/underscore/-/underscore-1.12.1.tgz"",
  18674 |       ""integrity"": ""sha512-hEQt0+ZLDVUMhebKxL4x1BTtDY7bavVofhZ9KZ4aI26X9SRaE+Y3m83XUL1UP2jn8ynjndwCCpEHdUG+9pP1Tw==""
  18675 |     },
> 18676 |     ""node_modules/undici"": {
  18677 |       ""version"": ""5.28.4"",
  18678 |       ""resolved"": ""https://registry.npmjs.org/undici/-/undici-5.28.4.tgz"",
  18679 |       ""integrity"": ""sha512-72RFADWFqKmUb2hmmvNODKL3p9hcB6Gt2DOQMis1SEBaV6a4MH8soBvzg+95CYhCKPFedut2JY9bMfrDl9D23g=="",
  18680 |       ""dependencies"": {
  18681 |         ""@fastify/busboy"": ""^2.0.0""
  18682 |       },
  18683 |       ""engines"": {
  18684 |         ""node"": "">=14.0""
  18685 |       }
  18686 |     },
        ^ Col 0
",npm.npm_package_lock_json
011. Use of software with known vulnerabilities,CWE-346,Use of esbuild at version 0.14.47 with ['GHSA-67mh-4wv8-2f99'] in MyApp/package-lock.json,CVSS:3.1/AV:N/AC:H/PR:N/UI:R/S:U/C:H/I:N/A:N/E:U/RL:O/RC:C,CVSS:4.0/AV:N/AC:H/AT:N/PR:N/UI:A/VC:H/VI:N/VA:N/SC:N/SI:N/SA:N/E:U,https://help.fluidattacks.com/portal/en/kb/articles/criteria-vulnerabilities-011,skims,SCA,5447,"
   5437 |       ""resolved"": ""https://registry.npmjs.org/@vercel/gatsby-plugin-vercel-builder/-/gatsby-plugin-vercel-builder-2.0.80.
